Sr/Si,SHAP value
0.0,-0.0015953931742269524
0.0,-0.00024067073217549966
0.0,-0.0003370697689631163
0.0,-0.00021721113130185877
0.0,-0.0002417284431068209
0.0,-0.0002514986268794433
0.0,-0.0005390902551866317
0.0,-0.0003052404764770244
0.0,-0.0002487055644404963
0.0,-0.0001793429948152644
0.0,-0.00029741618466373016
0.0,-0.00031824474715304383
0.0,-0.0025514299642175704
0.0,-0.00022387600652904556
0.0,-0.000898065232991067
0.0,-0.00029021614213742264
0.0,-0.00022149133901126853
0.0,-0.0002593618365748235
0.0,-0.00022240151547949546
0.0,-0.00029292306870318697
0.0,-0.0007277515762426237
0.0,-0.0003379096145948351
0.0,-0.0004807604540610241
0.0,-0.00029726213623919583
0.0,-0.0002991423966467673
0.0,-0.0006781727335058149
0.0,-0.0002232030141333509
0.0,-0.0002264628571865309
0.0,-0.00023788804353249975
0.0,-0.00024199837007700945
0.0,-0.0007557434907601217
0.0,-0.00029749130426794487
0.0,-0.001180831593844322
0.0,-0.00032223258052873607
0.0,-0.000169599406929522
0.0,-0.000369267246675156
0.0,-0.0002798679818764673
0.0,-0.00028551351405989685
0.0,-0.000296330897529973
0.0,-0.00043191125147714146
0.0,-0.0004872255287708125
0.0,-0.0005023114858051556
0.0,-0.00029125489786175756
0.0,-0.0018863636857928117
0.0,-0.00028260522034382745
0.0,-0.0011419100311641035
0.0,-0.0007100031497521812
0.0,-0.0009244336991097339
0.0,-0.0025523303849275952
0.0,-0.000233511319567347
0.0,-0.00019194570170002643
0.0,-0.0006409756181783217
0.0,-0.0005250309451123905
0.0,-0.0003290374878125024
0.0,-0.00023641598215532185
0.0,-0.000242755059828183
0.0,-0.0006946706816123656
0.0,-0.000491368061256676
0.0,-0.0004138621782150145
0.0,-0.000752785203673819
0.0,-0.00020137073463746987
0.0,-0.0003869548165395479
0.0,-0.0003142249611873671
0.0,-0.00032224466097945066
0.0,-0.00047883722503545806
0.0,-0.00020099872160322162
0.0,-0.0007843142046116617
0.0,-0.0002232198738099652
0.0,-0.0003390799839679375
0.0,-0.002129663051033124
0.0,-0.0003777489952371488
0.0,-0.0007334463273500548
0.0,-0.00033866793862023044
0.0,-0.0004549123257713392
0.0,-0.0004376815352452955
0.0,-0.0004348464956454361
0.0,-0.00019150624987635944
0.0,-0.000333468493200584
0.0,-0.00023093045479403453
